Date;Total1;Total2;Total3
2016-02-19;7484662876.0;1049336675.0;
2016-02-20;7697758811.0;1038201481.0;
2016-02-22;7831960084.0;1146660872.0;
2016-02-23;7522981135.0;1126162910.0;
2016-02-24;7610931037.0;1190031282.0;
2016-02-25;7611746529.0;1144723512.0;
2016-02-26;7729196257.0;1163213801.0;
2016-02-27;7697569914.0;1190882109.0;
2016-02-28;7889301769.0;1213689059.0;
2016-02-29;7862130079.0;1199683495.0;
2016-03-01;7910785920.0;1284278996.0;
2016-03-02;7787763775.0;1360790695.0;
2016-03-03;7912133659.0;1418304738.0;
2016-03-04;7771701210.0;1522505589.0;
2016-03-05;7750738605.0;1601892439.0;
2016-03-06;7824150441.0;1558510512.0;
2016-03-07;7799702974.0;1437762499.0;
2016-03-08;7863433777.0;1564342423.0;
2016-03-09;8018419920.0;1691662338.0;
2016-03-10;8078254825.0;1625951702.0;
2016-03-11;8207998256.0;1842807331.0;
2016-03-12;8235770580.0;1895847552.0;
2016-03-13;8235203165.0;1857129835.0;
2016-03-14;8165939375.0;1764387711.0;
2016-03-15;8203744441.0;1823188070.0;
2016-03-16;8191801635.0;1756195684.0;
2016-03-17;8001327546.0;1598552863.0;
2016-03-18;7812037871.0;1530286737.0;
2016-03-19;7917369835.0;1597868187.0;
2016-03-20;7894175521.0;1588622950.0;
2016-03-21;8082167477.0;1683775131.0;
2016-03-22;8140913281.0;1717452939.0;
2016-03-23;8105340643.0;1686576720.0;
2016-03-24;8042169068.0;1649153058.0;
2016-03-25;8077915284.0;1656810352.0;
2016-03-26;8090295007.0;1667786313.0;
2016-03-27;8232323116.0;1683013933.0;
2016-03-28;8215527833.0;1693256223.0;
2016-03-29;8090574264.0;1720266767.0;
2016-03-30;8115531183.0;1710359399.0;
2016-03-31;8105260518.0;1699554624.0;
2016-04-01;8154586223.0;1680677651.0;
2016-04-02;8161851979.0;1695383086.0;
2016-04-03;8209127768.0;1708561573.0;
2016-04-04;8166280007.0;1644458497.0;
2016-04-05;8132984283.0;1599748448.0;
2016-04-06;8116227976.0;1614980796.0;
2016-04-07;8083552450.0;1550679274.0;
2016-04-08;7968658698.0;1530373024.0;
2016-04-09;7872327741.0;1398842487.0;
2016-04-10;7869184508.0;1373917608.0;
2016-04-11;7873336206.0;1311359203.0;
2016-04-12;7823114695.0;1262584892.0;
2016-04-13;7881414801.0;1349422720.0;
2016-04-14;7931922987.0;1371921936.0;
2016-04-15;8013857068.0;1359430368.0;
2016-04-16;8039977732.0;1406777280.0;
2016-04-17;8076902230.0;1453923244.0;
2016-04-18;8093289442.0;1472532775.0;
2016-04-19;8174882150.0;1432013797.0;
2016-04-20;8270140366.0;1446424622.0;
2016-04-21;8298585620.0;1415439898.0;
2016-04-22;8270379984.0;1387157464.0;
2016-04-23;8429217379.0;1423912324.0;
2016-04-24;8476460062.0;1403521678.0;
2016-04-25;8518297700.0;1342079340.0;
2016-04-26;8571590089.0;1349401652.0;
2016-04-27;8176883897.0;1345653667.0;
2016-04-28;8292697597.0;1351078976.0;
2016-04-29;8394694706.0;1366049415.0;
2016-04-30;8411649246.0;1449391062.0;
2016-05-01;8485627495.0;1478733729.0;
2016-05-02;8411671190.0;1519842154.0;
2016-05-03;8472773605.0;1500056603.0;
2016-05-04;8430012529.0;1500388111.0;
2016-05-05;8512732086.0;1536932892.0;
2016-05-06;8623201467.0;1515585275.0;
2016-05-07;8603196455.0;1479239935.0;
2016-05-08;8617929888.0;1529638617.0;
2016-05-09;8644855382.0;1504556462.0;
2016-05-10;8531617583.0;1499442708.0;
2016-05-11;8519275634.0;1536200914.0;
2016-05-12;8663587778.0;1613795504.0;
2016-05-13;8648206905.0;1571104657.0;
2016-05-14;8646647122.0;1562284130.0;
2016-05-15;8663488214.0;1567158758.0;
2016-05-16;8723257122.0;1657886941.0;
2016-05-17;8847773555.0;1771556105.0;
2016-05-18;8903135057.0;1833147973.0;
